"from_id","to_id","confidence"
2032,10229,0.4882
2033,10229,0.472
2032,10230,0.415
2032,10231,0.3915
2033,10231,0.4995
2036,10231,0.4723
2032,10232,0.3699
2099,10232,0.473
2032,10235,0.1745
2076,10235,0.1282
2033,10237,0.6042
2034,10237,0.3309
2037,10237,0.5519
2033,10238,0.5033
2033,10239,0.378
2033,10240,0.2726
2033,10241,0.1731
2037,10241,0.1625
2034,10243,0.6195
2071,10243,0.5154
2073,10243,0.5321
2074,10243,0.5587
2082,10243,0.5491
2034,10244,0.5304
2034,10245,0.4781
2034,10246,0.4261
2045,10246,0.6297
2048,10246,0.4897
2034,10247,0.382
2034,10248,0.3075
2071,10248,0.4208
2072,10248,0.4671
2073,10248,0.4651
2075,10248,0.3874
2076,10248,0.3642
2077,10248,0.491
2078,10248,0.5452
2079,10248,0.4824
2080,10248,0.4985
2081,10248,0.5108
2082,10248,0.3031
2083,10248,0.5132
2084,10248,0.5004
2087,10248,0.5458
2088,10248,0.5002
2089,10248,0.4876
2090,10248,0.4846
2091,10248,0.3507
2093,10248,0.4919
2034,10249,0.294
2034,10250,0.082
2073,10250,0.1754
2035,10251,0.5033
2035,10252,0.4476
2035,10253,0.4419
2035,10254,0.4201
2035,10255,0.3144
2038,10255,0.3306
2035,10256,0.2367
2036,10260,0.6034
2040,10260,0.35
2036,10261,0.3996
2036,10262,0.3695
2036,10263,0.3602
2036,10264,0.3201
2036,10265,0.306
2037,10267,0.6163
2037,10268,0.5409
2037,10269,0.5216
2038,10272,0.6315
2038,10273,0.4596
2038,10274,0.4359
2038,10275,0.414
2038,10276,0.3918
2048,10276,0.4044
2066,10276,0.4409
2038,10277,0.3028
2039,10279,0.5359
2039,10280,0.3778
2039,10281,0.2851
2044,10281,0.2492
2040,10283,0.4738
2040,10284,0.464
2040,10285,0.4303
2040,10288,0.2233
2041,10289,0.5328
2041,10290,0.5027
2041,10291,0.4757
2041,10292,0.2189
2042,10295,0.5334
2042,10296,0.5331
2042,10297,0.5004
2043,10297,0.5161
2042,10298,0.4905
2042,10299,0.4415
2042,10300,0.3937
2043,10302,0.5611
2043,10303,0.493
2043,10304,0.4633
2043,10305,0.281
2044,10308,0.5363
2047,10308,0.4923
2044,10309,0.4517
2044,10310,0.443
2045,10311,0.5382
2094,10311,0.5681
2045,10312,0.382
2045,10313,0.2982
2045,10314,0.2424
2046,10315,0.5676
2094,10315,0.6547
2046,10316,0.4988
2046,10317,0.491
2046,10318,0.4499
2046,10319,0.4418
2046,10320,0.4232
2046,10321,0.2972
2046,10322,0.2907
2100,10322,0.3563
2047,10323,0.489
2048,10324,0.4191
2048,10325,0.3126
2048,10326,0.1439
2049,10327,0.7301
2053,10327,0.6256
2049,10328,0.6894
2049,10329,0.6482
2054,10329,0.4033
2049,10330,0.5922
2049,10331,0.591
2049,10332,0.5828
2049,10333,0.4403
2050,10333,0.4034
2051,10333,0.502
2062,10333,0.3912
2049,10334,0.4206
2050,10336,0.5279
2052,10336,0.4741
2050,10337,0.4975
2050,10338,0.4431
2067,10338,0.3649
2050,10339,0.3602
2050,10340,0.34
2051,10345,0.706
2051,10346,0.6557
2051,10347,0.606
2051,10348,0.5451
2051,10349,0.5303
2051,10350,0.4912
2051,10351,0.4781
2051,10352,0.4141
2052,10353,0.5759
2052,10354,0.5452
2052,10355,0.5389
2052,10356,0.5279
2052,10357,0.4866
2052,10358,0.3229
2052,10359,0.3062
2053,10360,0.6715
2064,10360,0.5384
2053,10361,0.6042
2053,10362,0.5885
2053,10363,0.5093
2053,10364,0.4871
2053,10365,0.4346
2053,10366,0.3046
2053,10367,0.2607
2053,10368,0.1674
2054,10369,0.6542
2054,10370,0.5702
2059,10370,0.3949
2054,10371,0.4713
2054,10372,0.3518
2054,10374,0.3017
2054,10375,0.2377
2054,10376,0.1836
2054,10377,0.1226
2055,10378,0.5962
2055,10379,0.5851
2055,10380,0.5788
2055,10381,0.555
2055,10382,0.5326
2055,10383,0.5128
