"from_id","to_id","strength"
50701,2067,1
50702,2067,1
50703,2067,1
50704,2067,1
50705,2067,1
50706,2067,1
50707,2067,1
50708,2067,1
50709,2068,1
50710,2068,1
50711,2068,1
50712,2068,1
50713,2068,1
50714,2068,1
50715,2068,1
50716,2068,1
50717,2068,1
50718,2068,1
50719,2068,1
50720,2069,1
50721,2069,1
50721,2102,1
50722,2069,1
50723,2069,1
50724,2069,1
50725,2069,1
50726,2069,1
50727,2069,1
50728,2069,1
50729,2069,1
50730,2070,1
50731,2070,1
50732,2070,1
50733,2070,1
50734,2070,1
50735,2070,1
50736,2070,1
50737,2070,1
50738,2070,1
50739,2070,1
50740,2070,1
50741,2070,1
50742,2071,1
50743,2071,1
50743,2075,1
50744,2071,1
50745,2071,1
50746,2071,1
50747,2071,1
50748,2071,1
50749,2071,1
50750,2071,1
50750,2087,1
50751,2071,1
50752,2071,1
50753,2071,1
50754,2072,1
50755,2072,1
50756,2072,1
50757,2072,1
50758,2072,1
50759,2072,1
50760,2072,1
50761,2072,1
50762,2072,1
50763,2072,1
50764,2073,1
50765,2073,1
50766,2073,1
50767,2073,1
50768,2073,1
50769,2073,1
50770,2073,1
50771,2073,1
50772,2073,1
50773,2073,1
50774,2074,1
50775,2074,1
50776,2074,1
50777,2074,1
50778,2074,1
50779,2074,1
50780,2074,1
50781,2074,1
50782,2074,1
50783,2074,1
50784,2074,1
50785,2074,1
50786,2075,1
50787,2075,1
50788,2075,1
50789,2075,1
50790,2075,1
50791,2075,1
50792,2075,1
50793,2075,1
50794,2075,1
50795,2076,1
50796,2076,1
50797,2076,1
50798,2076,1
50799,2076,1
50800,2076,1
50801,2076,1
50802,2076,1
50803,2076,1
50804,2076,1
50805,2077,1
50806,2077,1
50807,2077,1
50808,2077,1
50809,2077,1
50810,2077,1
50811,2077,1
50812,2077,1
50813,2077,1
50814,2077,1
50815,2078,1
50816,2078,1
50817,2078,1
50818,2078,1
50819,2078,1
50820,2078,1
50821,2078,1
50822,2078,1
50823,2078,1
50824,2078,1
50825,2079,1
50826,2079,1
50826,2080,1
50826,2081,1
50826,2090,1
50827,2079,1
50828,2079,1
50829,2079,1
50830,2079,1
50831,2079,1
50832,2079,1
50833,2079,1
50834,2079,1
50835,2080,1
50836,2080,1
50837,2080,1
50838,2080,1
50839,2080,1
50840,2080,1
50841,2080,1
50842,2080,1
50843,2081,1
50844,2081,1
50845,2081,1
50846,2081,1
50847,2081,1
50848,2081,1
50849,2081,1
50850,2081,1
50851,2081,1
50852,2082,1
50853,2082,1
50853,2084,1
50853,2093,1
50854,2082,1
50855,2082,1
50856,2082,1
50857,2082,1
50858,2082,1
50859,2082,1
50860,2082,1
50861,2082,1
50862,2082,1
50863,2082,1
50864,2083,1
50865,2083,1
50866,2083,1
50867,2083,1
50868,2083,1
50869,2083,1
50870,2083,1
50871,2083,1
50872,2083,1
50873,2083,1
50874,2083,1
50875,2083,1
50876,2084,1
50877,2084,1
50878,2084,1
50879,2084,1
50880,2084,1
50881,2084,1
50882,2084,1
50883,2084,1
50884,2085,1
50885,2085,1
50886,2085,1
50887,2085,1
50888,2085,1
50889,2085,1
50890,2085,1
50891,2085,1
